Category,Chinese Term,Translation,Status,Source
Major Type,布币,Spade coin,existing,database
Major Type,大尖足布,Large Pointed-Foot Spade,existing,database
Major Type,刀币,Knife coin,existing,database
Major Type,方足布,Square-foot Spade,existing,database
Major Type,弧背明刀,Curved-back Ming Knife,existing,database
Major Type,圜钱,Round coin,existing,database
Major Type,尖首刀,Pointed-tip Knife,existing,database
Major Type,尖足布,Pointed-Foot Spade,existing,database
Major Type,明刀,Ming Knife,existing,database
Major Type,平首布,Flat-handle Spade,existing,database
Major Type,齐大刀,Qi Large Knife,existing,database
Major Type,钱范,Coin mold,existing,database
Major Type,襄平,Xiangping,existing,database
Major Type,蚁鼻钱,Ant-nose coin,existing,database
Major Type,战国晚期,Late Warring States,existing,database
Major Type,折背明刀,Straight-back Ming Knife,existing,database
Major Type,针首刀,Needle-tip Knife,existing,database
Major Type,直刀,Straight-back Knife,existing,database
Minor Type,布币,Spade coin,existing,database
Minor Type,大方足布,Large square-foot spade,existing,database
Minor Type,大尖足布,Large pointed-foot spade,existing,database
Minor Type,大型尖足布,Large pointed-foot spade,existing,database
Minor Type,大型平肩空首布,Large flat-shoulder hollow-handle spade,existing,database
Minor Type,大型原始刀币,Large early knife coin,existing,database
Minor Type,刀币,Knife coin,existing,database
Minor Type,刀币范,Knife coin mould,existing,database
Minor Type,方足布,Square-foot flat-handle spade,existing,database
Minor Type,弧背明刀,Curved-back Ming knife,existing,database
Minor Type,滑石范,Huashifan,proposed,pinyin
Minor Type,圜钱,Round coin,existing,database
Minor Type,圜钱母范,Round-coin mother mold,existing,database
Minor Type,尖首刀,Pointed-tip knife,existing,database
Minor Type,尖足布,Pointed-foot flat-handle spade,existing,database
Minor Type,尖足布钱范,Pointed-foot spade mould,existing,database
Minor Type,空首布,Hollow-handle spade,existing,database
Minor Type,明刀,Ming knife,existing,database
Minor Type,平首布,Flat-handle spade,existing,database
Minor Type,齐大刀,Qi large knife,existing,database
Minor Type,齐明刀,Qi-Ming knife,existing,database
Minor Type,钱范,Coin mold,existing,database
Minor Type,桥足布,Bridge-foot spade,existing,database
Minor Type,三孔布,Three-hole spade,existing,database
Minor Type,耸肩空首布,Raised-shoulder hollow-handle spade,existing,database
Minor Type,小型平肩空首布,Small flat-shoulder hollow-socket spade,existing,database
Minor Type,蚁鼻钱,Ant-nose coin,existing,database
Minor Type,圆足布,Round-foot spade,existing,database
Minor Type,圆足布钱范,Round-foot spade mould,existing,database
Minor Type,战国晚期,Late Warring States,existing,database
Minor Type,折背明刀,Straight-back Ming knife,existing,database
Minor Type,折背明刀钱范,Straight-back Ming knife mould,existing,database
Minor Type,针首刀,Needle-tip knife,existing,database
Minor Type,直刀,Straight-back knife,existing,database
Minor Type,直刀钱范,Straight-knife coin mould,existing,database
Inscription,安阳,Anyang,existing,database
Inscription,安臧,Anzang,proposed,pinyin
Inscription,白,Bai,existing,database
Inscription,白化,Baihua,existing,database
Inscription,白人,Bairen,existing,database
Inscription,白人化,Bairen Hua,existing,database
Inscription,半,Ban,proposed,pinyin
Inscription,半两,Banliang,existing,database
Inscription,北丌,Beiji,existing,database
Inscription,北屈,Beiqu,existing,database
Inscription,北兹釿,Bei Zi Jin,existing,database
Inscription,贝丘,Beiqiu,existing,database
Inscription,差阴,Chayin,existing,database
Inscription,成白,Chengbai,existing,database
Inscription,乘邑,Chengyi,proposed,pinyin
